Sr.no.,year,state,permits,handguns,long_guns,bg_check,avg_age,avg_ed,avg_in,per_fem,per_hisp,per_white,per_black,per_native,per_asian,urb,region,pol
80,2003,New Jersey,0,15998,25122,41733,48,7.3,43535,51,9,79.5,9.8,0.2,6,12.24,Northeast,Blue
81,2003,New Mexico,0,22599,37898,79140,49,6.7,26896,51,34.4,75.1,1.6,6.7,1,9.9,West,Blue
82,2003,New York,35833,8649,103693,150831,48,7.2,38429,52,9.5,78.6,10.8,0.3,5.1,12.56,Northeast,Blue
83,2003,North Carolina,79605,2493,141837,264488,47,6.8,30493,51,3.6,78.5,16,1.6,1.5,10.32,South,Red
84,2003,North Dakota,2545,4345,23805,33393,46,6.9,27019,50,0.9,93.9,0.4,4.3,0.5,9.05,Midwest,Red
85,2003,Ohio,0,93250,178186,298632,48,6.9,30850,51,1.4,89.2,8.1,0.2,1,10.88,Midwest,Red
86,2003,Oklahoma,0,43202,84837,167551,48,6.9,28122,50,3.4,80.7,5.3,6.9,1.3,9.94,South,Red
87,2003,Oregon,617,47287,92310,142960,48,7.2,31645,50,4.8,91.6,0.8,0.8,2.9,10.71,West,Blue
88,2003,Pennsylvania,4374,2,506403,515896,49,6.9,31119,51,2.3,90.2,6.3,0.1,1.5,11.15,Northeast,Purple
89,2003,Rhode Island,0,4010,4699,9660,48,7.1,34750,52,4.7,91.4,3.1,0.5,2,11.72,Northeast,Blue
90,2003,South Carolina,10502,36976,58193,121352,48,6.9,31326,52,1.9,75.8,21.6,0.3,0.9,10.11,South,Red
91,2003,South Dakota,0,7834,35302,47683,46,6.9,26952,51,1.1,96.4,0.6,1.3,0.6,8.73,Midwest,Red
92,2003,Tennessee,1,90007,126036,219783,48,6.7,29669,51,1.8,86.6,10.7,0.3,0.9,10.2,South,Red
93,2003,Texas,103700,151157,312704,688275,46,6.8,32911,50,26,77,8.8,0.5,2.8,11.17,South,Red
94,2003,Utah,7133,18199,44198,70507,43,7.1,29419,47,6.5,93.3,0.6,0.4,2.1,10.96,West,Red
95,2003,Vermont,0,5846,13841,19971,47,7.3,29977,51,0.9,97.1,0.2,0.5,0.6,8.84,Northeast,Blue
96,2003,Virginia,1,72882,125201,200270,47,7.2,38326,51,3.8,78.1,15,0.3,4.2,10.91,South,Blue
97,2003,Washington,54061,52210,80915,213916,47,7.4,35823,50,4.5,87.1,2.2,1,5.8,11.12,West,Blue
98,2003,West Virginia,0,30258,69009,131777,50,6.2,23626,50,0.6,96.3,2.1,0.3,0.3,9.11,South,Red
99,2003,Wisconsin,0,43203,142777,188594,47,7,30406,50,2.6,93.1,3,0.4,1.4,10.19,Midwest,Red
100,2003,Wyoming,1830,8019,17747,33184,46,7,30215,49,5.9,93.4,0.9,1.4,0.5,8.26,West,Red
101,2004,Alabama,0,69932,117692,229997,49,6.8,30108,51,1.4,76.8,20.8,0.5,0.6,9.61,South,Red
102,2004,Alaska,0,13026,21959,40504,43,7.2,37956,49,3.2,80.2,3.2,6.3,4.9,8.74,South,Red
103,2004,Arizona,17605,56236,62487,155719,48,7.1,34375,50,18,83.4,2.3,2.7,2.4,11.3,West,Red
104,2004,Arkansas,8214,31085,85476,158366,49,6.6,26687,52,2.6,84.7,11.1,0.6,1.1,9.26,South,Red
105,2004,California,141926,177220,219511,548843,47,7.2,40465,50,22.8,69.4,4.9,0.8,12.4,12.19,West,Blue
106,2004,Colorado,10012,69512,109533,194191,46,7.5,38049,50,11.6,88,3,0.7,2,11.15,West,Blue
107,2004,Connecticut,48361,22768,25045,100916,49,7.5,47250,51,6.1,87.6,5.5,0.2,2.7,11.41,Northeast,Blue
108,2004,Delaware,0,4977,11197,16424,48,7.2,36673,52,3.8,81.5,13.8,0.2,2.6,11.01,South,Blue
109,2004,Florida,0,144755,155333,318024,51,7.1,33810,51,14.3,84.5,9.5,0.3,1.8,11.46,South,Red
110,2004,Georgia,34429,70216,123561,232203,47,6.9,34948,51,4.1,73.4,21.2,0.2,2.4,10.55,South,Red
111,2004,Hawaii,7295,0,0,7298,49,7.3,35313,50,5.7,27.7,0.8,0.2,56,11.09,South,Blue
112,2004,Idaho,11570,13278,37931,75553,46,6.9,26178,48,5.1,94.1,0.2,1.2,1.2,9.59,West,Red
113,2004,Illinois,433946,53904,99523,590417,47,7.2,37672,51,7.7,82.4,9.4,0.2,4,11.62,Midwest,Blue
114,2004,Indiana,0,63235,105228,176520,47,6.8,31148,50,2.6,91.6,5.3,0.2,1,10.41,Midwest,Red
115,2004,Iowa,51050,306,45008,98517,49,6.8,28312,51,2,96.6,0.8,0.3,1,9.59,Midwest,Red
116,2004,Kansas,0,24008,63202,99007,48,7.1,29790,51,2.9,93.1,2.4,0.8,1.5,10.12,Midwest,Red
117,2004,Kentucky,0,67889,124173,234974,48,6.3,26868,51,1.1,93.3,4.8,0.2,0.7,9.79,South,Red
118,2004,Louisiana,0,49283,93711,172421,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,South,Red
119,2004,Maine,0,13287,35746,52665,49,7,30188,51,0.6,97,0.4,0.4,0.7,9.04,Northeast,Blue
120,2004,Maryland,23183,2552,49825,77481,47,7.4,41509,52,3.6,75,18.5,0.2,4.1,11.71,South,Blue
121,2004,Massachusetts,41202,20815,16535,112996,48,7.6,42491,52,4,89.8,3.6,0.2,3.6,11.84,Northeast,Red
122,2004,Michigan,135692,32590,169747,342418,47,7,34171,51,2.5,87.2,8.5,0.5,1.8,10.81,Midwest,Purple
123,2004,Minnesota,51552,38578,128666,227846,46,7.3,35915,51,1.9,93.2,2.4,0.7,2.2,10.46,Midwest,Purple
124,2004,Mississippi,0,38079,78965,152294,48,6.5,26596,53,1.1,70.8,27.6,0.3,0.5,8.91,South,Red
125,2004,Missouri,0,44533,142138,209316,47,7,31281,51,1.9,89.7,7.2,0.4,1.1,10.2,Midwest,Red
126,2004,Montana,4066,15596,45577,83545,49,7,25854,50,1.5,89.5,0.2,7.7,0.5,8.47,West,Red
127,2004,Nebraska,17188,156,29683,48436,48,7,29108,51,4,93.6,2.1,0.4,1,10.2,Midwest,Red
128,2004,Nevada,0,23762,27412,54754,48,6.9,36056,48,13.5,81.6,4.6,1.5,6.1,11.77,West,Purple
129,2004,New Hampshire,17082,13343,26177,56791,47,7.3,37696,50,1.4,96.8,0.6,0.3,1.4,9.92,Northeast,Purple
130,2004,New Jersey,0,14399,22384,37376,48,7.4,45432,51,9.5,79.4,9.2,0.2,6.2,12.24,Northeast,Blue
131,2004,New Mexico,0,24903,38923,81546,49,6.7,28340,51,35.6,74.3,1.7,6.8,1.1,9.9,West,Blue
132,2004,New York,35791,10349,111057,160222,48,7.3,40375,52,9.6,78.4,10.7,0.3,5,12.56,Northeast,Blue
133,2004,North Carolina,92972,1985,142499,276480,48,6.9,31965,51,3.5,78.6,15.9,1.7,1.6,10.32,South,Red
134,2004,North Dakota,2287,4754,25156,34690,47,7,27858,50,0.6,94.3,0.4,3.7,0.8,9.05,Midwest,Red
135,2004,Ohio,0,127163,173266,327040,48,7,32111,51,1.3,89.6,7.7,0.2,1.3,10.88,Midwest,Red
136,2004,Oklahoma,0,46856,87731,173188,48,6.9,28697,51,4.2,81.2,5.1,6.5,1.4,9.94,South,Red
137,2004,Oregon,470,48042,98103,149688,49,7.3,32312,50,4.7,91.5,0.9,0.9,3,10.71,West,Blue
138,2004,Pennsylvania,3776,0,497989,504813,49,7,32681,51,2.3,90.5,6,0.1,1.7,11.15,Northeast,Purple
139,2004,Rhode Island,0,4286,4781,10054,48,7.1,34807,53,5.5,90.4,3.6,0.3,2,11.72,Northeast,Blue
140,2004,South Carolina,10808,37647,60286,124153,48,7,32650,51,2.6,76.4,20.7,0.2,1.1,10.11,South,Red
141,2004,South Dakota,0,8440,37554,50323,47,6.9,28427,51,1.2,96.1,0.5,1.6,0.6,8.73,Midwest,Red
142,2004,Tennessee,10900,87637,127351,229401,48,6.7,30632,51,2.2,85.7,11.4,0.3,1.1,10.2,South,Red
143,2004,Texas,82633,152473,319020,672995,46,6.9,34513,50,26,77.5,8.5,0.5,3,11.17,South,Red
144,2004,Utah,14659,18899,45428,79967,43,7.2,30354,48,6.9,93.5,0.5,0.5,1.7,10.96,West,Red
145,2004,Vermont,0,5816,13398,19490,48,7.3,32394,52,0.8,97,0.3,0.3,1,8.84,Northeast,Blue
146,2004,Virginia,0,80005,130520,213062,47,7.3,40139,51,4.1,78.5,14.9,0.3,4,10.91,South,Blue
147,2004,Washington,34659,55820,86352,203432,47,7.4,36530,50,4.8,86.3,2.3,0.9,6,11.12,West,Blue
148,2004,West Virginia,0,30356,69730,132846,50,6.3,24736,50,0.6,96.2,2.1,0.2,0.5,9.11,South,Red
149,2004,Wisconsin,0,40981,143387,187097,47,7,31905,50,2.3,93.6,2.7,0.6,1.3,10.19,Midwest,Red
150,2004,Wyoming,2344,8332,19370,35427,46,7,32104,50,6,93.6,0.9,1.5,0.5,8.26,West,Red
151,2005,Alabama,0,77044,119189,235873,49,6.7,30056,52,1.7,76.8,20.3,0.6,0.9,9.61,South,Red
152,2005,Alaska,0,15458,23570,44514,43,6.8,34742,48,2.4,65.3,1.8,23.4,3.8,8.74,South,Red
153,2005,Arizona,18587,68553,71164,176649,48,7.1,35420,50,19.1,82.6,2.5,3.1,2.3,11.3,West,Red
154,2005,Arkansas,10813,33743,86731,164001,49,6.4,26193,51,2.9,84.8,11.3,0.7,0.8,9.26,South,Red
155,2005,California,146608,219760,239155,611022,47,7.1,41883,49,24.9,67.3,5,0.8,12.8,12.19,West,Blue
156,2005,Colorado,9701,75000,116200,206287,46,7.5,38856,49,12.6,87.6,2.4,0.9,2.3,11.15,West,Blue
157,2005,Connecticut,44075,24806,24630,97599,49,7.5,48935,51,6.7,87.1,6.2,0.2,2.6,11.41,Northeast,Blue
158,2005,Delaware,0,6210,10681,17121,49,7.1,37810,51,4.1,80.3,14.2,0.3,2.4,11.01,South,Blue
159,2005,Florida,0,182793,170428,370645,51,7.1,35665,51,14.8,83.1,10.4,0.3,2,11.46,South,Red
160,2005,Georgia,33641,78525,126314,257815,47,7,35648,51,4.6,71.3,22.8,0.3,2.3,10.55,South,Red
161,2005,Hawaii,7574,0,0,7575,49,7.2,35252,50,5.2,28,0.9,0.3,54.4,11.09,South,Blue
162,2005,Idaho,11236,15320,41229,80343,47,6.9,28280,49,5.9,93.4,0.2,1.2,0.9,9.59,West,Red
163,2005,Illinois,372188,56745,94815,527134,47,7.1,37511,51,7.8,82.9,9,0.2,3.2,11.62,Midwest,Blue
164,2005,Indiana,0,63969,100569,172249,47,6.8,31866,51,2.9,91.1,5.5,0.3,0.9,10.41,Midwest,Red
165,2005,Iowa,52476,296,45842,100344,49,6.9,29209,51,1.7,96.8,1,0.2,0.8,9.59,Midwest,Red
166,2005,Kansas,0,24733,61814,98311,48,7,31210,51,4.3,91.2,3.3,0.8,1.3,10.12,Midwest,Red
167,2005,Kentucky,0,70894,119462,232589,48,6.6,29818,51,1.2,92.3,5.4,0.3,0.9,9.79,South,Red
168,2005,Louisiana,1,75090,106161,207954,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,South,Red
169,2005,Maine,0,13438,33303,50319,49,6.9,28988,50,0.7,97.4,0.3,0.7,0.5,9.04,Northeast,Blue
170,2005,Maryland,19260,9591,50307,80947,47,7.4,44932,52,4.4,70.4,21.6,0.3,4.5,11.71,South,Blue
171,2005,Massachusetts,64584,20581,15565,105347,48,7.6,43135,52,4.4,89.1,4,0.2,3.4,11.84,Northeast,Red
172,2005,Michigan,141407,33065,158049,337035,48,7,33247,50,2.3,88.1,7.8,0.6,1.6,10.81,Midwest,Purple
173,2005,Minnesota,52464,36959,126190,224165,48,7.1,35010,49,1.5,94.8,1.5,0.8,1.6,10.46,Midwest,Purple
174,2005,Mississippi,2,45705,90411,167713,48,6.5,26621,53,1.5,68,29.6,0.4,0.7,8.91,South,Red
175,2005,Missouri,0,47532,144772,214241,48,6.8,30673,51,1.7,89.5,7.2,0.4,1.2,10.2,Midwest,Red
176,2005,Montana,3914,16161,46734,84060,49,7,27793,50,1.3,93.6,0.2,3.9,0.5,8.47,West,Red
177,2005,Nebraska,17793,9,28978,48172,49,6.9,29750,51,3.7,94,2,0.6,0.9,10.2,Midwest,Red
178,2005,Nevada,455,27382,28821,62727,47,6.9,37360,49,15.5,78.2,5.6,1.5,7.1,11.77,West,Purple
179,2005,New Hampshire,15332,14565,25661,55761,48,7.3,37502,51,0.7,97,0.6,0.3,1.2,9.92,Northeast,Purple
180,2005,New Jersey,0,15541,20436,36582,48,7.4,46445,51,9.7,78.6,9.9,0.2,6.1,12.24,Northeast,Blue
181,2005,New Mexico,0,27044,38923,82051,48,7,30785,50,37.6,73.6,1.5,7,1.4,9.9,West,Blue
182,2005,New York,35594,12953,109677,158781,48,7.3,39879,52,9.7,78.3,10.5,0.3,4.9,12.56,Northeast,Blue
183,2005,North Carolina,90758,1948,141642,271527,48,6.9,32564,52,3.9,77.8,17.1,1.2,1.4,10.32,South,Red
184,2005,North Dakota,2152,5170,26272,36000,49,6.8,29582,50,1,94.7,0.3,3.3,0.6,9.05,Midwest,Red
185,2005,Ohio,0,117324,170175,313159,48,6.9,32255,51,1.7,89.3,7.7,0.2,1.2,10.88,Midwest,Red
186,2005,Oklahoma,0,52310,91873,182031,49,6.7,28819,50,3.9,81.4,4.5,7,1.2,9.94,South,Red
187,2005,Oregon,482,52469,101911,158045,48,7.2,32783,50,5.4,90.7,1.1,1.4,2.9,10.71,West,Blue
188,2005,Pennsylvania,3217,2,476676,482977,49,6.9,32411,51,2.1,91.8,5.1,0.1,1.5,11.15,Northeast,Purple
189,2005,Rhode Island,0,4257,4416,9649,48,7.2,37756,52,5.5,90.2,3,0.4,1.9,11.72,Northeast,Blue
190,2005,South Carolina,18841,43309,64030,141811,48,6.9,31145,52,2.8,75,21.7,0.3,1.1,10.11,South,Red
191,2005,South Dakota,0,8795,37938,50768,48,6.8,28073,50,1.1,93,0.4,4.9,0.4,8.73,Midwest,Red
192,2005,Tennessee,35551,91349,122737,253450,48,6.7,30990,51,1.9,85.3,11.9,0.3,1,10.2,South,Red
193,2005,Texas,82207,188052,353437,738793,47,6.8,34935,50,24.8,77,9.1,0.5,2.9,11.17,South,Red
194,2005,Utah,16318,20349,51206,88981,43,7.2,31983,49,6.7,92.8,0.6,0.9,2.2,10.96,West,Red
195,2005,Vermont,0,5912,12427,18607,49,7.3,33295,51,0.5,97.2,0.3,0.5,0.9,8.84,Northeast,Blue
196,2005,Virginia,3,89812,129074,221725,47,7.3,40904,51,4,77.8,15.1,0.4,4.1,10.91,South,Blue
197,2005,Washington,40050,62214,92216,219559,48,7.3,37595,50,5.4,86.2,2.1,1.5,5.7,11.12,West,Blue
198,2005,West Virginia,2,32281,69609,133667,51,6.5,26454,51,0.5,95.6,2.8,0.1,0.5,9.11,South,Red
199,2005,Wisconsin,0,39930,140634,183013,48,6.9,32420,50,2,94.9,2,0.6,1,10.19,Midwest,Red
200,2005,Wyoming,2907,9223,20722,37911,48,6.9,30955,50,5.1,94.2,0.3,1.9,0.5,8.26,West,Red
201,2006,Alabama,0,83100,121077,243176,49,6.7,30680,52,1.8,75.9,20.9,0.6,0.9,9.61,South,Red
202,2006,Alaska,0,16948,25236,47037,43,6.7,33985,48,3.7,65.1,1.7,22.7,4.2,8.74,South,Red
203,2006,Arizona,32182,77463,77512,204178,48,7.1,37280,49,19.8,82.2,2.6,3.2,2.4,11.3,West,Red
204,2006,Arkansas,14281,37171,87465,170129,49,6.5,27819,51,2.8,84.5,11.4,0.9,0.8,9.26,South,Red
205,2006,California,172352,200857,227982,617820,47,7.1,42598,49,26,66.2,5.1,0.8,13,12.19,West,Blue
206,2006,Colorado,12522,79488,117350,214749,46,7.5,40019,49,13.2,87.5,2.5,0.9,2.2,11.15,West,Blue
207,2006,Connecticut,41706,25726,26291,97616,49,7.4,48907,51,7,86.2,6.7,0.2,2.5,11.41,Northeast,Blue
208,2006,Delaware,0,6107,10367,16698,49,7.1,37888,52,3.6,80,14.1,0.4,2.7,11.01,South,Blue
209,2006,Florida,0,213821,179478,411728,50,7.1,36732,51,15.9,81.9,11.2,0.3,2.1,11.46,South,Red
210,2006,Georgia,35443,100961,138972,311901,46,7,35996,51,4.9,69.5,24.6,0.3,2.5,10.55,South,Red
211,2006,Hawaii,7580,0,0,7588,49,7.2,37758,50,6,28.6,1.3,0.4,52.7,11.09,South,Blue
212,2006,Idaho,15155,17810,46214,91018,47,6.9,29123,49,6,93.6,0.3,1.3,0.9,9.59,West,Red
213,2006,Illinois,365917,60587,97719,527698,48,7.1,38279,51,7.8,81.8,9.7,0.2,3.2,11.62,Midwest,Blue
214,2006,Indiana,0,69885,107529,185655,47,6.8,31830,50,3.1,90.7,5.8,0.2,0.9,10.41,Midwest,Red
215,2006,Iowa,53022,258,46642,101430,49,6.8,30169,51,2.1,96.1,1.2,0.3,0.9,9.59,Midwest,Red
216,2006,Kansas,0,34485,63318,109143,48,7,32033,50,4.6,90.8,3.4,1,1.4,10.12,Midwest,Red
217,2006,Kentucky,516563,75234,120916,791599,48,6.6,30403,51,1.4,91.9,5.8,0.2,0.9,9.79,South,Red
218,2006,Louisiana,NA,78149,111258,212176,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,South,Red
219,2006,Maine,0,14263,35281,53106,49,7,29684,51,0.7,96.7,0.5,0.7,0.7,9.04,Northeast,Blue
220,2006,Maryland,20977,8957,50532,82207,47,7.5,45978,52,4.4,69.8,22.6,0.2,4.4,11.71,South,Blue
221,2006,Massachusetts,96876,21341,16888,137148,48,7.5,42620,52,4.9,88,4.4,0.2,3.6,11.84,Northeast,Red
